# Factor    ecutrho(Ry)    Pressure(kbar)    Energy(Ry)    Time(s)
2    280    36.09    -448.58939100    10
4    560    32.20    -448.58663335    15
5    700    31.07    -448.58662948    14
6    840    32.18    -448.58658892    18
7    980    31.18    -448.58659446    16
8    1120    31.46    -448.58658586    19
9    1260    31.95    -448.58658602    18
10    1400    31.96    -448.58658530    18
12    1680    32.20    -448.58658419    22
15    2100    31.68    -448.58658369    26
20    2800    31.28    -448.58658356    36
25    3500    31.40    -448.58658357    44
30    4200    31.07    -448.58658351    39
