# ecutwfc(Ry)    ecutrho(Ry)    Pressure(kbar)    Energy(Ry)    Time(s)
20    100    -1420.03    -447.95234584    5
40    200    -196.12    -448.50972294    5
50    250    -9.90    -448.57506481    7
60    300    36.47    -448.58107503    6
70    350    23.85    -448.58227296    7
80    400    23.60    -448.58478223    10
100    500    31.99    -448.58604338    13
120    600    30.02    -448.58630193    15
140    700    31.07    -448.58662948    15
170    850    31.70    -448.58667418    21
200    1000    31.94    -448.58675419    22
250    1250    32.04    -448.58677860    26
