# ecutwfc(Ry)    ecutrho(Ry)    Pressure(kbar)    Energy(Ry)    Time(s)
20    100    -1999.10    -3106.26769866    87
30    150    125.55    -3109.91628494    96
40    200    -433.74    -3110.70229974    107
50    250    -212.10    -3111.25781348    145
60    300    -149.09    -3111.30127829    151
70    350    -163.16    -3111.31675584    171
80    400    -162.16    -3111.33786994    218
90    450    -153.56    -3111.34745258    242
100    500    -150.42    -3111.34840564    263
110    550    -151.96    -3111.34853193    297
120    600    -153.23    -3111.35010248    320
