Run	ecutwfc	ecutrho	Total_Energy(Ry)	Pressure(kbar)
1	40	400	-448.49868935	-294.99
2	50	500	-448.57391181	-9.86
3	60	600	-448.57812283	23.71
4	70	700	-448.58165914	14.63
5	80	800	-448.58479453	20.96
6	90	900	-448.58580829	27.82
7	100	1000	-448.58595116	29.11
8	110	1100	-448.58611546	27.92
9	120	1200	-448.58639783	27.80
10	130	1300	-448.58660635	28.21
11	140	1400	-448.58668563	29.08
12	150	1500	-448.58670948	29.65
13	160	1600	-448.58673522	28.98
14	170	1700	-448.58677061	28.88
15	180	1800	-448.58680375	29.35
