Run	Total_Energy(Ry)	Volume(a.u.^3)	Pressure(kbar)
1	-448.58693762	173.8408	-0.60
2	-448.58668780	176.4484	-28.08
3	-448.58477786	181.7415	-77.46
4	-448.58112826	187.1394	-120.91
5	-448.57589055	192.6431	-158.78
6	-448.56920506	198.2537	-191.35
7	-448.56120526	203.9723	-219.72
8	-448.55201882	209.7997	-244.06
9	-448.54176685	215.7371	-263.71
10	-448.51850778	227.9458	-295.03
11	-448.58590496	168.7030	60.60
12	-448.58456790	166.1725	95.44
13	-448.58010978	161.1876	170.00
14	-448.57307797	156.3035	255.35
15	-448.56322238	151.5190	352.12
16	-448.55027224	146.8332	462.50
17	-448.53393064	142.2450	587.10
18	-448.51394094	137.7534	725.30
19	-448.48994516	133.3574	883.39
20	-448.42869539	124.8478	1250.30
