# equation of state: birch 1st order.  chisq =   0.9342D-08
# V0 =  173.93 a.u.^3,  k0 = 1913 kbar,  dk0 =  4.14  d2k0 =  0.000  emin = -448.58691
# V0 =   25.77  Ang^3,  k0 = 191.3 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  173.84    -448.58694    -448.58691    -0.00003       0.10     -448.58574
  176.45    -448.58669    -448.58668    -0.00001      -2.67     -448.61868
  181.74    -448.58478    -448.58479     0.00001      -7.67     -448.67958
  187.14    -448.58113    -448.58115     0.00003     -12.04     -448.73427
  192.64    -448.57589    -448.57592     0.00003     -15.83     -448.78321
  198.25    -448.56921    -448.56924     0.00003     -19.12     -448.82683
  203.97    -448.56121    -448.56124     0.00004     -21.95     -448.86552
  209.80    -448.55202    -448.55205     0.00003     -24.38     -448.89966
  215.74    -448.54177    -448.54178     0.00002     -26.44     -448.92960
  227.95    -448.51851    -448.51842    -0.00009     -29.66     -448.97812
  168.70    -448.58590    -448.58583    -0.00008       6.22     -448.51455
  166.17    -448.58457    -448.58447    -0.00010       9.60     -448.47615
  161.19    -448.58011    -448.57999    -0.00012      17.04     -448.39334
  156.30    -448.57308    -448.57296    -0.00012      25.51     -448.30198
  151.52    -448.56322    -448.56313    -0.00009      35.13     -448.20134
  146.83    -448.55027    -448.55025    -0.00002      46.05     -448.09065
  142.25    -448.53393    -448.53400     0.00007      58.42     -447.96908
  137.75    -448.51394    -448.51408     0.00014      72.42     -447.83576
  133.36    -448.48995    -448.49013     0.00018      88.27     -447.68971
  124.85    -448.42870    -448.42855    -0.00015     126.48     -447.35525
  173.79    -448.58669    -448.58691     0.00022       0.16     -448.58482
