# equation of state: birch 1st order.  chisq =   0.7130D-08
# V0 =  173.94 a.u.^3,  k0 = 1914 kbar,  dk0 =  4.13  d2k0 =  0.000  emin = -448.58693
# V0 =   25.77  Ang^3,  k0 = 191.4 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  173.84    -448.58694    -448.58693    -0.00001       0.10     -448.58571
  176.45    -448.58669    -448.58670     0.00001      -2.67     -448.61866
  181.74    -448.58478    -448.58482     0.00004      -7.68     -448.67960
  187.14    -448.58113    -448.58118     0.00005     -12.04     -448.73433
  192.64    -448.57589    -448.57594     0.00005     -15.84     -448.78332
  198.25    -448.56921    -448.56926     0.00005     -19.13     -448.82698
  203.97    -448.56121    -448.56125     0.00005     -21.96     -448.86571
  209.80    -448.55202    -448.55206     0.00004     -24.39     -448.89990
  215.74    -448.54177    -448.54178     0.00002     -26.46     -448.92988
  227.95    -448.51851    -448.51840    -0.00011     -29.69     -448.97850
  168.70    -448.58590    -448.58585    -0.00005       6.23     -448.51449
  166.17    -448.58457    -448.58449    -0.00007       9.60     -448.47607
  161.19    -448.58011    -448.58001    -0.00010      17.05     -448.39324
  156.30    -448.57308    -448.57297    -0.00010      25.53     -448.30186
  151.52    -448.56322    -448.56315    -0.00008      35.15     -448.20121
  146.83    -448.55027    -448.55025    -0.00002      46.06     -448.09052
  142.25    -448.53393    -448.53401     0.00008      58.43     -447.96896
  137.75    -448.51394    -448.51408     0.00014      72.43     -447.83567
  133.36    -448.48995    -448.49012     0.00018      88.28     -447.68965
  124.85    -448.42870    -448.42854    -0.00015     126.47     -447.35531
